objectid ,parentid,filename,format,title,creator,date,location,itemcategory,itemtype,medium,gender,label,culturalsignificance,itemdescription,date,location,originalowner,additionalimage
SW2,,floraleveningdress,compound_object,Floral Evening Dress,,1930s ,UK ,Clothing ,"Evening Dresses, Dresses, Gowns","Synthetic, Silk",Female ,,Early Representation of synthetic fabrics ,"1930s bias cut evening gown, silk replica fabric",1988,Edinburgh ,,"Photograph 1, 1989, Belgium "
SW3,SW2,floraleveningdress_front.jpg,image/jpg,Floral Evening Dress,,1930s ,UK ,Clothing ,"Evening Dresses, Dresses, Gowns","Synthetic, Silk",Female ,,Early Representation of synthetic fabrics ,"1930s bias cut evening gown, silk replica fabric",1988,Edinburgh ,,"Photograph 1, 1989, Belgium "
SW4,SW2,floraleveningdress_back.jpg,image/jpg,Floral Evening Dress,,1930s ,UK ,Clothing ,"Evening Dresses, Dresses, Gowns","Synthetic, Silk",Female ,,Early Representation of synthetic fabrics ,"1930s bias cut evening gown, silk replica fabric",1988,Edinburgh ,,"Photograph 1, 1989, Belgium "
SW5,SW2,floraleveningdress_frontdetail.JPG,image/jpg,Floral Evening Dress,,1930s ,UK ,Clothing ,"Evening Dresses, Dresses, Gowns","Synthetic, Silk",Female ,,Early Representation of synthetic fabrics ,"1930s bias cut evening gown, silk replica fabric",1988,Edinburgh ,,"Photograph 1, 1989, Belgium "
SW6,SW2,floraleveningdress_structure.JPG,image/jpg,Floral Evening Dress,,1930s ,UK ,Clothing ,"Evening Dresses, Dresses, Gowns","Synthetic, Silk",Female ,,Early Representation of synthetic fabrics ,"1930s bias cut evening gown, silk replica fabric",1988,Edinburgh ,,"Photograph 1, 1989, Belgium "
SW7,SW2,floraleveningdress_fabric.JPG,image/jpg,Floral Evening Dress,,1930s ,UK ,Clothing ,"Evening Dresses, Dresses, Gowns","Synthetic, Silk",Female ,,Early Representation of synthetic fabrics ,"1930s bias cut evening gown, silk replica fabric",1988,Edinburgh ,,"Photograph 1, 1989, Belgium "
SW8,,purpleshortjacket,compound_object,Purple Short Jacket ,,1970s-1980s,UK ,Clothing ,Outerwear  ,Velvet,Female ,,Representation of adding old pieces to newer garments ,"Unknown creation date, velvet short jacket, 1930s buttons added by SW",1986-1988,Edinburgh ,,
SW9,SW8,purpleshortjacket_front.jpg,image/jpg,Purple Short Jacket ,,1970s-1980s,UK ,Clothing ,Outerwear  ,Velvet,Female ,,Representation of adding old pieces to newer garments ,"Unknown creation date, velvet short jacket, 1930s buttons added by SW",1986-1988,Edinburgh ,,
SW10,SW8,purpleshortjacket_buttons.JPG,image/jpg,Purple Short Jacket ,,1970s-1980s,UK ,Clothing ,Outerwear  ,Velvet,Female ,,Representation of adding old pieces to newer garments ,"Unknown creation date, velvet short jacket, 1930s buttons added by SW",1986-1988,Edinburgh ,,
SW11,,purplecassock,compound_object,Purple Cassock ,,1930s-1960s ,London ,Clothing ,"Outerwear, Coats ","Cotton, Wool ",Male,The House of Wo,,"Mass produced, purple catholic cassock ",1988,Edinburgh ,,
SW12,SW11,purplecassock_front.jpg,image/jpg,Purple Cassock ,,1930s-1960s ,London ,Clothing ,"Outerwear, Coats ","Cotton, Wool ",Male,The House of Wo,,"Mass produced, purple catholic cassock ",1988,Edinburgh ,,
SW13,SW11,purplecassock_label.JPG,image/jpg,Purple Cassock ,,1930s-1960s ,London ,Clothing ,"Outerwear, Coats ","Cotton, Wool ",Male,The House of Wo,,"Mass produced, purple catholic cassock ",1988,Edinburgh ,,
SW14,SW11,purplecassock_pocket.jpg,image/jpg,Purple Cassock ,,1930s-1960s ,London ,Clothing ,"Outerwear, Coats ","Cotton, Wool ",Male,The House of Wo,,"Mass produced, purple catholic cassock ",1988,Edinburgh ,,
SW15,SW11,purplecassock_button.JPG,image/jpg,Purple Cassock ,,1930s-1960s ,London ,Clothing ,"Outerwear, Coats ","Cotton, Wool ",Male,The House of Wo,,"Mass produced, purple catholic cassock ",1988,Edinburgh ,,
SW16,,pinksapphirering,compound_object,Pink Sapphire Ring ,,1930s ,Sri Lanka ,Jewelry ,"Rings, Accessories ","White Gold, Gold, Pink Sapphire, White Sapphire, Sapphire ",Female ,,,"Art deco, white gold with pink and white sapphires, possibly made in sri lanka, evening ring ",ASK GM ,Sri Lanka,Margaret White,
SW17,SW16,pinksapphirering_front.jpg,image/jpg,Pink Sapphire Ring ,,1930s ,Sri Lanka ,Jewelry ,"Rings, Accessories ","White Gold, Gold, Pink Sapphire, White Sapphire, Sapphire ",Female ,,,"Art deco, white gold with pink and white sapphires, possibly made in sri lanka, evening ring ",ASK GM ,Sri Lanka,Margaret White,
SW18,SW16,pinksapphirering_back.jpg,image/jpg,Pink Sapphire Ring ,,1930s ,Sri Lanka ,Jewelry ,"Rings, Accessories ","White Gold, Gold, Pink Sapphire, White Sapphire, Sapphire ",Female ,,,"Art deco, white gold with pink and white sapphires, possibly made in sri lanka, evening ring ",ASK GM ,Sri Lanka,Margaret White,
SW19,,bluesapphirering,compound_object,Blue Sapphire Ring ,Conaille ,1990s,Mauritius ,Jewelry ,"Rings, Accessories ","Yellow Gold, Gold, Blue Sapphire, Sapphire","Female, Male ",,"Representation of repurposing heirlooms into more wearable items, representation of material items being passed down among women in family ","1940s sapphire broach, most likely of Sri Lankan creation, remodeled into custome made ring by Mauritian jeweler Conaille ",1990,Mauritius ,Mavis Hocking ,
SW20,SW19,bluesapphirering_front.jpg,image/jpg,Blue Sapphire Ring ,Conaille ,1990s,Mauritius ,Jewelry ,"Rings, Accessories ","Yellow Gold, Gold, Blue Sapphire, Sapphire","Female, Male ",,"Representation of repurposing heirlooms into more wearable items, representation of material items being passed down among women in family ","1940s sapphire broach, most likely of Sri Lankan creation, remodeled into custome made ring by Mauritian jeweler Conaille ",1990,Mauritius ,Mavis Hocking ,
SW21,SW19,bluesapphirering_side.jpg,image/jpg,Blue Sapphire Ring ,Conaille ,1990s,Mauritius ,Jewelry ,"Rings, Accessories ","Yellow Gold, Gold, Blue Sapphire, Sapphire","Female, Male ",,"Representation of repurposing heirlooms into more wearable items, representation of material items being passed down among women in family ","1940s sapphire broach, most likely of Sri Lankan creation, remodeled into custome made ring by Mauritian jeweler Conaille ",1990,Mauritius ,Mavis Hocking ,
SW22,SW19,bluesapphirering_back.jpg,image/jpg,Blue Sapphire Ring ,Conaille ,1990s,Mauritius ,Jewelry ,"Rings, Accessories ","Yellow Gold, Gold, Blue Sapphire, Sapphire","Female, Male ",,"Representation of repurposing heirlooms into more wearable items, representation of material items being passed down among women in family ","1940s sapphire broach, most likely of Sri Lankan creation, remodeled into custome made ring by Mauritian jeweler Conaille ",1990,Mauritius ,Mavis Hocking ,
SW23,SW19,bluesapphirering_top.jpg,image/jpg,Blue Sapphire Ring ,Conaille ,1990s,Mauritius ,Jewelry ,"Rings, Accessories ","Yellow Gold, Gold, Blue Sapphire, Sapphire","Female, Male ",,"Representation of repurposing heirlooms into more wearable items, representation of material items being passed down among women in family ","1940s sapphire broach, most likely of Sri Lankan creation, remodeled into custome made ring by Mauritian jeweler Conaille ",1990,Mauritius ,Mavis Hocking ,
SW24,,diorjacket,compound_object,Dior Jacket,Christian Dior ,1960s ,London ,Clothing ,"Outerwear, Suits ","Wool, Twill, Wool Twill ",Female ,"Christian Dior; U.K. REGD., MADE IN ENGLAND BY, Christian Dior Ltd. London, DIOR; f.m.; Christian Dior, MADE IN ENGLAND, BY CHRISTIAN DIOR LTD. LONDON",,"Suit jacket, dress missing, official seals from Christian Dior ",1986-1988 ,Edinburgh ,,
SW25,SW24,diorjacket_front.jpg,image/jpg,Dior Jacket,Christian Dior ,1960s ,London ,Clothing ,"Outerwear, Suits ","Wool, Twill, Wool Twill ",Female ,"Christian Dior; U.K. REGD., MADE IN ENGLAND BY, Christian Dior Ltd. London, DIOR; f.m.; Christian Dior, MADE IN ENGLAND, BY CHRISTIAN DIOR LTD. LONDON",,"Suit jacket, dress missing, official seals from Christian Dior ",1986-1988 ,Edinburgh ,,
SW26,SW24,diorjacket_collar.JPG,image/jpg,Dior Jacket,Christian Dior ,1960s ,London ,Clothing ,"Outerwear, Suits ","Wool, Twill, Wool Twill ",Female ,"Christian Dior; U.K. REGD., MADE IN ENGLAND BY, Christian Dior Ltd. London, DIOR; f.m.; Christian Dior, MADE IN ENGLAND, BY CHRISTIAN DIOR LTD. LONDON",,"Suit jacket, dress missing, official seals from Christian Dior ",1986-1988 ,Edinburgh ,,
SW27,SW24,diorjacket_label.JPG,image/jpg,Dior Jacket,Christian Dior ,1960s ,London ,Clothing ,"Outerwear, Suits ","Wool, Twill, Wool Twill ",Female ,"Christian Dior; U.K. REGD., MADE IN ENGLAND BY, Christian Dior Ltd. London, DIOR; f.m.; Christian Dior, MADE IN ENGLAND, BY CHRISTIAN DIOR LTD. LONDON",,"Suit jacket, dress missing, official seals from Christian Dior ",1986-1988 ,Edinburgh ,,
SW28,SW24,diorjacket_seal.jpg,image/jpg,Dior Jacket,Christian Dior ,1960s ,London ,Clothing ,"Outerwear, Suits ","Wool, Twill, Wool Twill ",Female ,"Christian Dior; U.K. REGD., MADE IN ENGLAND BY, Christian Dior Ltd. London, DIOR; f.m.; Christian Dior, MADE IN ENGLAND, BY CHRISTIAN DIOR LTD. LONDON",,"Suit jacket, dress missing, official seals from Christian Dior ",1986-1988 ,Edinburgh ,,
SW29,SW24,diorjacket_tag.jpg,image/jpg,Dior Jacket,Christian Dior ,1960s ,London ,Clothing ,"Outerwear, Suits ","Wool, Twill, Wool Twill ",Female ,"Christian Dior; U.K. REGD., MADE IN ENGLAND BY, Christian Dior Ltd. London, DIOR; f.m.; Christian Dior, MADE IN ENGLAND, BY CHRISTIAN DIOR LTD. LONDON",,"Suit jacket, dress missing, official seals from Christian Dior ",1986-1988 ,Edinburgh ,,
SW30,,ysleveningdress,compound_object,YSL Evening Dress,Yves Saint Laurent ,1970s-1980s,,Clothing ,"Evening Dresses, Dresses, Gowns","Silk, Jersey, Silk Jersey  ",Female ,,,"Yves Saint Laurent, label missing, evening dress",1990,London,,
SW31,SW30,ysleveningdress_whole.jpg,image/jpg,YSL Evening Dress,Yves Saint Laurent ,1970s-1980s,,Clothing ,"Evening Dresses, Dresses, Gowns","Silk, Jersey, Silk Jersey  ",Female ,,,"Yves Saint Laurent, label missing, evening dress",1990,London,,
SW32,SW30,ysleveningdress_front.jpg,image/jpg,YSL Evening Dress,Yves Saint Laurent ,1970s-1980s,,Clothing ,"Evening Dresses, Dresses, Gowns","Silk, Jersey, Silk Jersey  ",Female ,,,"Yves Saint Laurent, label missing, evening dress",1990,London,,
SW33,SW30,ysleveningdress_back.jpg,image/jpg,YSL Evening Dress,Yves Saint Laurent ,1970s-1980s,,Clothing ,"Evening Dresses, Dresses, Gowns","Silk, Jersey, Silk Jersey  ",Female ,,,"Yves Saint Laurent, label missing, evening dress",1990,London,,
SW34,,sleevelessbolaro,compound_object,Sleeveless Bolaro ,,1930s,,Clothing ,Vests,"Silk, Synthetic",Female ,,,"Sleeveless bolaro jacket, matching dress missing, Sciapparelli influence with geometric shape, probably custom made or made to measure ",1985,Mauritius ,,
SW35,SW34,sleevelessbolaro_front.jpg,image/jpg,Sleeveless Bolaro ,,1930s,,Clothing ,Vests,"Silk, Synthetic",Female ,,,"Sleeveless bolaro jacket, matching dress missing, Sciapparelli influence with geometric shape, probably custom made or made to measure ",1985,Mauritius ,,
SW36,SW34,sleevelessbolaro_detail.JPG,image/jpg,Sleeveless Bolaro ,,1930s,,Clothing ,Vests,"Silk, Synthetic",Female ,,,"Sleeveless bolaro jacket, matching dress missing, Sciapparelli influence with geometric shape, probably custom made or made to measure ",1985,Mauritius ,,
SW37,,paintedbonering,compound_object,Painted Bone Ring ,,1930s-1980s ,,Jewelry ,"Rings, Accessories ","Bone, Rose Gold, Organic Paint",Female ,,Representation of transforming mineature painting into wearable object,"Persian or Mongul, hand painted bone, set in rose gold ",1986-1988,Edinburgh ,,
SW38,SW37,paintedbonering_front.jpg,image/jpg,Painted Bone Ring ,,1930s-1980s ,,Jewelry ,"Rings, Accessories ","Bone, Rose Gold, Organic Paint",Female ,,Representation of transforming mineature painting into wearable object,"Persian or Mongul, hand painted bone, set in rose gold ",1986-1988,Edinburgh ,,
SW39,SW37,paintedbonering_top.jpg,image/jpg,Painted Bone Ring ,,1930s-1980s ,,Jewelry ,"Rings, Accessories ","Bone, Rose Gold, Organic Paint",Female ,,Representation of transforming mineature painting into wearable object,"Persian or Mongul, hand painted bone, set in rose gold ",1986-1988,Edinburgh ,,
SW40,SW37,paintedbonering_back.jpg,image/jpg,Painted Bone Ring ,,1930s-1980s ,,Jewelry ,"Rings, Accessories ","Bone, Rose Gold, Organic Paint",Female ,,Representation of transforming mineature painting into wearable object,"Persian or Mongul, hand painted bone, set in rose gold ",1986-1988,Edinburgh ,,
