objectid ,parentid,filename,format,title,creator,date,description,subject,location,latitude,longitude ,category,medium,gender,label,culture,date,location,latitude,longitude,originalowner,additionalimage
sw2,,,compound_object,Floral Evening Dress,,1930,"1930s bias cut evening gown, silk replica fabric","Evening Dresses, Dresses, Gowns",United Kingdom,55.3781,3.436,Clothing ,"Synthetic, Silk",Female ,,Early Representation of synthetic fabrics ,1988,Edinburgh ,55.9533,3.1883,,"Photograph 1, 1989, Belgium "
sw3,sw2,floraleveningdress_front.jpg,image/jpg,Floral Evening Dress,,1930,"1930s bias cut evening gown, silk replica fabric","Evening Dresses, Dresses, Gowns",United Kingdom,55.3781,3.436,Clothing ,"Synthetic, Silk",Female ,,Early Representation of synthetic fabrics ,1988,Edinburgh ,55.9533,3.1883,,"Photograph 1, 1989, Belgium "
sw4,sw2,floraleveningdress_back.jpg,image/jpg,Floral Evening Dress,,1930,"1930s bias cut evening gown, silk replica fabric","Evening Dresses, Dresses, Gowns",United Kingdom,55.3781,3.436,Clothing ,"Synthetic, Silk",Female ,,Early Representation of synthetic fabrics ,1988,Edinburgh ,55.9533,3.1883,,"Photograph 1, 1989, Belgium "
sw5,sw2,floraleveningdress_frontdetail.JPG,image/jpg,Floral Evening Dress,,1930,"1930s bias cut evening gown, silk replica fabric","Evening Dresses, Dresses, Gowns",United Kingdom,55.3781,3.436,Clothing ,"Synthetic, Silk",Female ,,Early Representation of synthetic fabrics ,1988,Edinburgh ,55.9533,3.1883,,"Photograph 1, 1989, Belgium "
sw6,sw2,floraleveningdress_structure.JPG,image/jpg,Floral Evening Dress,,1930,"1930s bias cut evening gown, silk replica fabric","Evening Dresses, Dresses, Gowns",United Kingdom,55.3781,3.436,Clothing ,"Synthetic, Silk",Female ,,Early Representation of synthetic fabrics ,1988,Edinburgh ,55.9533,3.1883,,"Photograph 1, 1989, Belgium "
sw7,sw2,floraleveningdress_fabric.JPG,image/jpg,Floral Evening Dress,,1930,"1930s bias cut evening gown, silk replica fabric","Evening Dresses, Dresses, Gowns",United Kingdom,55.3781,3.436,Clothing ,"Synthetic, Silk",Female ,,Early Representation of synthetic fabrics ,1988,Edinburgh ,55.9533,3.1883,,"Photograph 1, 1989, Belgium "
sw8,,,compound_object,Purple Short Jacket ,,1970-1980,"Unknown creation date, velvet short jacket, 1930s buttons added by SW",Outerwear  ,United Kingdom,55.3781,3.436,Clothing ,Velvet,Female ,,Representation of adding old pieces to newer garments ,1986-1988,Edinburgh ,55.9533,3.1883,,
sw9,sw8,purpleshortjacket_front.jpg,image/jpg,Purple Short Jacket ,,1970-1980,"Unknown creation date, velvet short jacket, 1930s buttons added by SW",Outerwear  ,United Kingdom,55.3781,3.436,Clothing ,Velvet,Female ,,Representation of adding old pieces to newer garments ,1986-1988,Edinburgh ,55.9533,3.1883,,
sw10,sw8,purpleshortjacket_buttons.JPG,image/jpg,Purple Short Jacket ,,1970-1980,"Unknown creation date, velvet short jacket, 1930s buttons added by SW",Outerwear  ,United Kingdom,55.3781,3.436,Clothing ,Velvet,Female ,,Representation of adding old pieces to newer garments ,1986-1988,Edinburgh ,55.9533,3.1883,,
sw11,,,compound_object,Purple Cassock ,,1930-1960,"Mass produced, purple catholic cassock ","Outerwear, Coats ",London ,51.5072,0.1276,Clothing ,"Cotton, Wool ",Male,The House of Wo,,1988,Edinburgh ,55.9533,3.1883,,
sw12,sw11,purplecassock_front.jpg,image/jpg,Purple Cassock ,,1930-1960,"Mass produced, purple catholic cassock ","Outerwear, Coats ",London ,51.5072,0.1276,Clothing ,"Cotton, Wool ",Male,The House of Wo,,1988,Edinburgh ,55.9533,3.1883,,
sw13,sw11,purplecassock_label.JPG,image/jpg,Purple Cassock ,,1930-1960,"Mass produced, purple catholic cassock ","Outerwear, Coats ",London ,51.5072,0.1276,Clothing ,"Cotton, Wool ",Male,The House of Wo,,1988,Edinburgh ,55.9533,3.1883,,
sw14,sw11,purplecassock_pocket.jpg,image/jpg,Purple Cassock ,,1930-1960,"Mass produced, purple catholic cassock ","Outerwear, Coats ",London ,51.5072,0.1276,Clothing ,"Cotton, Wool ",Male,The House of Wo,,1988,Edinburgh ,55.9533,3.1883,,
sw15,sw11,purplecassock_button.JPG,image/jpg,Purple Cassock ,,1930-1960,"Mass produced, purple catholic cassock ","Outerwear, Coats ",London ,51.5072,0.1276,Clothing ,"Cotton, Wool ",Male,The House of Wo,,1988,Edinburgh ,55.9533,3.1883,,
sw16,,,compound_object,Pink Sapphire Ring ,,1930,"Art deco, white gold with pink and white sapphires, possibly made in sri lanka, evening ring ","Rings, Accessories ",Sri Lanka ,7.8731,80.7718,Jewelry ,"White Gold, Gold, Pink Sapphire, White Sapphire, Sapphire ",Female ,,,1960,Sri Lanka,7.8731,80.7718,Margaret White,
sw17,sw16,pinksapphirering_front.jpg,image/jpg,Pink Sapphire Ring ,,1930,"Art deco, white gold with pink and white sapphires, possibly made in sri lanka, evening ring ","Rings, Accessories ",Sri Lanka ,7.8731,80.7718,Jewelry ,"White Gold, Gold, Pink Sapphire, White Sapphire, Sapphire ",Female ,,,1960,Sri Lanka,7.8731,80.7718,Margaret White,
sw18,sw16,pinksapphirering_back.jpg,image/jpg,Pink Sapphire Ring ,,1930,"Art deco, white gold with pink and white sapphires, possibly made in sri lanka, evening ring ","Rings, Accessories ",Sri Lanka ,7.8731,80.7718,Jewelry ,"White Gold, Gold, Pink Sapphire, White Sapphire, Sapphire ",Female ,,,1960,Sri Lanka,7.8731,80.7718,Margaret White,
sw19,,,compound_object,Blue Sapphire Ring ,Conaille ,1990,"1940s sapphire broach, most likely of Sri Lankan creation, remodeled into custome made ring by Mauritian jeweler Conaille ","Rings, Accessories ",Mauritius ,20.3484,57.5522,Jewelry ,"Yellow Gold, Gold, Blue Sapphire, Sapphire","Female, Male ",,"Representation of repurposing heirlooms into more wearable items, representation of material items being passed down among women in family ",1990,Mauritius ,20.3484,57.5522,Mavis Hocking ,
sw20,sw19,bluesapphirering_front.jpg,image/jpg,Blue Sapphire Ring ,Conaille ,1990,"1940s sapphire broach, most likely of Sri Lankan creation, remodeled into custome made ring by Mauritian jeweler Conaille ","Rings, Accessories ",Mauritius ,20.3484,57.5522,Jewelry ,"Yellow Gold, Gold, Blue Sapphire, Sapphire","Female, Male ",,"Representation of repurposing heirlooms into more wearable items, representation of material items being passed down among women in family ",1990,Mauritius ,20.3484,57.5522,Mavis Hocking ,
sw21,sw19,bluesapphirering_side.jpg,image/jpg,Blue Sapphire Ring ,Conaille ,1990,"1940s sapphire broach, most likely of Sri Lankan creation, remodeled into custome made ring by Mauritian jeweler Conaille ","Rings, Accessories ",Mauritius ,20.3484,57.5522,Jewelry ,"Yellow Gold, Gold, Blue Sapphire, Sapphire","Female, Male ",,"Representation of repurposing heirlooms into more wearable items, representation of material items being passed down among women in family ",1990,Mauritius ,20.3484,57.5522,Mavis Hocking ,
sw22,sw19,bluesapphirering_back.jpg,image/jpg,Blue Sapphire Ring ,Conaille ,1990,"1940s sapphire broach, most likely of Sri Lankan creation, remodeled into custome made ring by Mauritian jeweler Conaille ","Rings, Accessories ",Mauritius ,20.3484,57.5522,Jewelry ,"Yellow Gold, Gold, Blue Sapphire, Sapphire","Female, Male ",,"Representation of repurposing heirlooms into more wearable items, representation of material items being passed down among women in family ",1990,Mauritius ,20.3484,57.5522,Mavis Hocking ,
sw23,sw19,bluesapphirering_top.jpg,image/jpg,Blue Sapphire Ring ,Conaille ,1990,"1940s sapphire broach, most likely of Sri Lankan creation, remodeled into custome made ring by Mauritian jeweler Conaille ","Rings, Accessories ",Mauritius ,20.3484,57.5522,Jewelry ,"Yellow Gold, Gold, Blue Sapphire, Sapphire","Female, Male ",,"Representation of repurposing heirlooms into more wearable items, representation of material items being passed down among women in family ",1990,Mauritius ,20.3484,57.5522,Mavis Hocking ,
sw24,,,compound_object,Dior Jacket,Christian Dior ,1960,"Suit jacket, dress missing, official seals from Christian Dior ","Outerwear, Suits ",London ,51.5072,0.1276,Clothing ,"Wool, Twill, Wool Twill ",Female ,"Christian Dior; U.K. REGD., MADE IN ENGLAND BY, Christian Dior Ltd. London, DIOR; f.m.; Christian Dior, MADE IN ENGLAND, BY CHRISTIAN DIOR LTD. LONDON",,1986-1988 ,Edinburgh ,55.9533,3.1883,,
sw25,sw24,diorjacket_front.jpg,image/jpg,Dior Jacket,Christian Dior ,1960,"Suit jacket, dress missing, official seals from Christian Dior ","Outerwear, Suits ",London ,51.5072,0.1276,Clothing ,"Wool, Twill, Wool Twill ",Female ,"Christian Dior; U.K. REGD., MADE IN ENGLAND BY, Christian Dior Ltd. London, DIOR; f.m.; Christian Dior, MADE IN ENGLAND, BY CHRISTIAN DIOR LTD. LONDON",,1986-1988 ,Edinburgh ,55.9533,3.1883,,
sw26,sw24,diorjacket_collar.JPG,image/jpg,Dior Jacket,Christian Dior ,1960,"Suit jacket, dress missing, official seals from Christian Dior ","Outerwear, Suits ",London ,51.5072,0.1276,Clothing ,"Wool, Twill, Wool Twill ",Female ,"Christian Dior; U.K. REGD., MADE IN ENGLAND BY, Christian Dior Ltd. London, DIOR; f.m.; Christian Dior, MADE IN ENGLAND, BY CHRISTIAN DIOR LTD. LONDON",,1986-1988 ,Edinburgh ,55.9533,3.1883,,
