objectid ,parentid,filename,format,title,creator,date,location,itemcategory,itemtype,medium,gender,label,culturalsignificance,itemdescription,date,location,originalowner,additionalimage
sw2,,,compound_object,Floral Evening Dress,,1930s ,UK ,Clothing ,"Evening Dresses, Dresses, Gowns","Synthetic, Silk",Female ,,Early Representation of synthetic fabrics ,"1930s bias cut evening gown, silk replica fabric",1988,Edinburgh ,,"Photograph 1, 1989, Belgium "
sw3,sw2,floraleveningdress_front.jpg,image/jpg,Floral Evening Dress,,1930s ,UK ,Clothing ,"Evening Dresses, Dresses, Gowns","Synthetic, Silk",Female ,,Early Representation of synthetic fabrics ,"1930s bias cut evening gown, silk replica fabric",1988,Edinburgh ,,"Photograph 1, 1989, Belgium "
sw4,sw2,floraleveningdress_back.jpg,image/jpg,Floral Evening Dress,,1930s ,UK ,Clothing ,"Evening Dresses, Dresses, Gowns","Synthetic, Silk",Female ,,Early Representation of synthetic fabrics ,"1930s bias cut evening gown, silk replica fabric",1988,Edinburgh ,,"Photograph 1, 1989, Belgium "
sw5,sw2,floraleveningdress_frontdetail.JPG,image/jpg,Floral Evening Dress,,1930s ,UK ,Clothing ,"Evening Dresses, Dresses, Gowns","Synthetic, Silk",Female ,,Early Representation of synthetic fabrics ,"1930s bias cut evening gown, silk replica fabric",1988,Edinburgh ,,"Photograph 1, 1989, Belgium "
sw6,sw2,floraleveningdress_structure.JPG,image/jpg,Floral Evening Dress,,1930s ,UK ,Clothing ,"Evening Dresses, Dresses, Gowns","Synthetic, Silk",Female ,,Early Representation of synthetic fabrics ,"1930s bias cut evening gown, silk replica fabric",1988,Edinburgh ,,"Photograph 1, 1989, Belgium "
sw7,sw2,floraleveningdress_fabric.JPG,image/jpg,Floral Evening Dress,,1930s ,UK ,Clothing ,"Evening Dresses, Dresses, Gowns","Synthetic, Silk",Female ,,Early Representation of synthetic fabrics ,"1930s bias cut evening gown, silk replica fabric",1988,Edinburgh ,,"Photograph 1, 1989, Belgium "
sw8,,,compound_object,Purple Short Jacket ,,1970s-1980s,UK ,Clothing ,Outerwear  ,Velvet,Female ,,Representation of adding old pieces to newer garments ,"Unknown creation date, velvet short jacket, 1930s buttons added by SW",1986-1988,Edinburgh ,,
sw9,sw8,purpleshortjacket_front.jpg,image/jpg,Purple Short Jacket ,,1970s-1980s,UK ,Clothing ,Outerwear  ,Velvet,Female ,,Representation of adding old pieces to newer garments ,"Unknown creation date, velvet short jacket, 1930s buttons added by SW",1986-1988,Edinburgh ,,
sw10,sw8,purpleshortjacket_buttons.JPG,image/jpg,Purple Short Jacket ,,1970s-1980s,UK ,Clothing ,Outerwear  ,Velvet,Female ,,Representation of adding old pieces to newer garments ,"Unknown creation date, velvet short jacket, 1930s buttons added by SW",1986-1988,Edinburgh ,,
sw11,,,compound_object,Purple Cassock ,,1930s-1960s ,London ,Clothing ,"Outerwear, Coats ","Cotton, Wool ",Male,The House of Wo,,"Mass produced, purple catholic cassock ",1988,Edinburgh ,,
sw12,sw11,purplecassock_front.jpg,image/jpg,Purple Cassock ,,1930s-1960s ,London ,Clothing ,"Outerwear, Coats ","Cotton, Wool ",Male,The House of Wo,,"Mass produced, purple catholic cassock ",1988,Edinburgh ,,
sw13,sw11,purplecassock_label.JPG,image/jpg,Purple Cassock ,,1930s-1960s ,London ,Clothing ,"Outerwear, Coats ","Cotton, Wool ",Male,The House of Wo,,"Mass produced, purple catholic cassock ",1988,Edinburgh ,,
sw14,sw11,purplecassock_pocket.jpg,image/jpg,Purple Cassock ,,1930s-1960s ,London ,Clothing ,"Outerwear, Coats ","Cotton, Wool ",Male,The House of Wo,,"Mass produced, purple catholic cassock ",1988,Edinburgh ,,
sw15,sw11,purplecassock_button.JPG,image/jpg,Purple Cassock ,,1930s-1960s ,London ,Clothing ,"Outerwear, Coats ","Cotton, Wool ",Male,The House of Wo,,"Mass produced, purple catholic cassock ",1988,Edinburgh ,,
